ACVR1C	NM_145259
ACVR2A	NM_001616
ACVR2B	NM_001106
ACVR2B-AS1	NR_028389
ACVRL1	NM_001077401
ACY1	NM_001198895
ACY3	NM_080658
ACYP1	NM_001107
ACYP2	NM_138448
ADA	NM_000022
ADAD1	NM_001159285
ADAD2	NM_001145400
ADAL	NM_001159280
ADAM10	NM_001110
ADAM11	NM_002390
ADAM12	NM_003474
ADAM15	NM_207197
ADAM17	NM_003183
ADAM18	NM_014237
ADAM19	NM_033274
ADAM1A	NR_036636
ADAM2	NM_001464
ADAM20	NM_003814
ADAM20P1	NR_037933
ADAM21	NM_003813
ADAM21P1	NR_003951
ADAM22	NM_021723
ADAM23	NM_003812
ADAM28	NM_014265
ADAM29	NM_001278127
ADAM30	NM_021794
ADAM32	NM_145004
ADAM33	NM_025220
ADAM3A	NR_001569
ADAM3B	NR_144553
ADAM5	NR_001448
ADAM6	NR_002224
ADAM7	NM_003817
ADAM8	NM_001109
ADAM9	NM_003816
ADAMDEC1	NM_014479
ADAMTS1	NM_006988
ADAMTS10	NM_030957
ADAMTS12	NM_030955
ADAMTS13	NM_139025
ADAMTS14	NM_139155
ADAMTS15	NM_139055
ADAMTS16	NM_139056
ADAMTS17	NM_139057
ADAMTS18	NM_199355
ADAMTS19	NM_133638
ADAMTS19-AS1	NR_125748
ADAMTS2	NM_014244
ADAMTS20	NM_025003
ADAMTS3	NM_014243
ADAMTS4	NM_005099
ADAMTS5	NM_007038
ADAMTS6	NM_197941
ADAMTS7	NM_014272
ADAMTS7P1	NR_045529
ADAMTS8	NM_007037
ADAMTS9	NM_182920
ADAMTS9-AS1	NR_110150
ADAMTS9-AS2	NR_038264
ADAMTSL1	NM_001040272
ADAMTSL2	NM_014694
ADAMTSL3	NM_207517
ADAMTSL4	NM_019032
ADAMTSL4-AS1	NR_104133
ADAMTSL5	NM_213604
ADAP1	NM_006869
ADAP2	NM_018404
ADAR	NM_001111
ADARB1	NM_015833
ADARB2	NM_018702
ADARB2-AS1	NR_033387
ADAT1	NM_012091
ADAT2	NM_182503
ADAT3	NM_138422
ADCK1	NM_020421
ADCK2	NM_052853
ADCK5	NM_174922
ADCY1	NM_021116
ADCY10	NM_018417
ADCY10P1	NR_026938
ADCY2	NM_020546
ADCY3	NM_004036
ADCY4	NM_001198592
ADCY5	NM_183357
ADCY6	NM_015270
ADCY7	NM_001114
ADCY8	NM_001115
ADCY9	NM_001116
ADCYAP1	NM_001117
ADCYAP1R1	NM_001199635
ADD1	NM_014189
ADD2	NM_001185054
ADD3	NM_016824
ADD3-AS1	NR_038943
ADGB	NM_024694
ADGRA1	NM_001083909
ADGRA1-AS1	NR_111905
ADGRA2	NM_032777
ADGRA3	NM_145290
ADGRB1	NM_001702
ADGRB2	NM_001294335
ADGRB3	NM_001704
ADGRD1	NM_198827
ADGRE1	NM_001974
ADGRE2	NM_013447
ADGRE3	NM_032571
ADGRE4P	NR_024075
ADGRE5	NM_078481
ADGRF1	NM_153840
ADGRF2	NM_153839
ADGRF3	NM_001145168
ADGRF4	NM_153838
ADGRF5	NM_001098518
ADGRG1	NM_005682
ADGRG2	NM_001079858
ADGRG3	NM_170776
ADGRG4	NM_153834
ADGRG5	NM_153837
